"id","description","genome_fraction","observed_region_hits","fold_enrichment","p_value","p_adjust","mean_tss_dist","observed_gene_hits","gene_set_size","fold_enrichment_hyper","p_value_hyper","p_adjust_hyper","fold_enrichment_final","term_name_final","padj_final","neglog10_padj","dataset"
"GO:0099645","neurotransmitter receptor localization to postsynaptic specialization membrane",0.0039925243166232,5,7.45440788876066,0.000621573263484717,0.0225086360678541,55556,3,37,5.92439274717756,0.0139637953164721,0.135893478283427,7.45440788876066,"neurotransmitter receptor localization to postsynaptic specialization membrane",0.0225086360678541,1.64765082068812,"human_specific"
"GO:0051384","response to glucocorticoid",0.0168878050310511,10,3.52466228822306,0.00063256120097014,0.0225086360678541,107777,4,127,2.30133891491412,0.0969094619310506,0.302549555013165,3.52466228822306,"response to glucocorticoid",0.0225086360678541,1.64765082068812,"human_specific"
"GO:0051101","regulation of DNA binding",0.00619151474798386,6,5.76826304514826,0.000684333109712406,0.0233768190277758,134288,1,44,1.66062523973916,0.455071584416573,0.612982859766173,5.76826304514826,"regulation of DNA binding",0.0233768190277758,1.63121458524737,"human_specific"
"GO:0071548","response to dexamethasone",0.00625725837043719,6,5.70765718785405,0.000722574763984516,0.0237338018631837,134288,1,41,1.78213440362252,0.432013803393819,0.59698994837916,5.70765718785405,"response to dexamethasone",0.0237338018631837,1.62463268757493,"human_specific"
"GO:0033673","negative regulation of kinase activity",0.00877896974422183,7,4.74619094046781,0.000776912522385851,0.0239555252412874,115131,2,78,1.8735259115006,0.289267191281795,0.495359724037787,4.74619094046781,"negative regulation of kinase activity",0.0239555252412874,1.62059430249767,"human_specific"
"GO:0043267","negative regulation of potassium ion transport",0.0042080282507807,5,7.07264851569929,0.000785427057091391,0.0239555252412874,174512,5,27,13.5310204719487,2.90561092810347e-05,0.0248139173260036,7.07264851569929,"negative regulation of potassium ion transport",0.0239555252412874,1.62059430249767,"human_specific"
"GO:0071385","cellular response to glucocorticoid stimulus",0.00915038601642442,7,4.55354195898155,0.000986181844417598,0.0290413550045734,135159,2,53,2.75726454900088,0.16383452739552,0.375106397843899,4.55354195898155,"cellular response to glucocorticoid stimulus",0.0290413550045734,1.53698312429148,"human_specific"
"GO:0050807","regulation of synapse organization",0.0403414270443022,16,2.3608013453145,0.00136231807422216,0.0380553321956802,109644,12,297,2.95222264842518,0.000834404813990146,0.0773295946233594,2.3608013453145,"regulation of synapse organization",0.0380553321956802,1.41958448262756,"human_specific"
"GO:0051668","localization within membrane",0.0735603420729367,24,1.94204021938203,0.00138139964644741,0.0380553321956802,118467,20,670,2.18111971786636,0.000931861567908354,0.0773295946233594,1.94204021938203,"localization within membrane",0.0380553321956802,1.41958448262756,"human_specific"
"GO:0050803","regulation of synapse structure or activity",0.0409695672349328,16,2.32460583954839,0.00159324085558256,0.0425196153333596,109644,12,303,2.89376279400092,0.000991924824094261,0.0773295946233594,2.32460583954839,"regulation of synapse structure or activity",0.0425196153333596,1.37141067310817,"human_specific"
"GO:1902414","protein localization to cell junction",0.0131343509920516,8,3.62553487780744,0.00184235940392659,0.0456647364905575,82826,6,116,3.77935399388913,0.00524227214388028,0.122927378610002,3.62553487780744,"protein localization to cell junction",0.0456647364905575,1.34041904411543,"human_specific"
"GO:0050790","regulation of catalytic activity",0.0622065170202918,21,2.0094357631247,0.00186151237676794,0.0456647364905575,82078,13,520,1.82668776371308,0.0271913361559673,0.191912405596662,2.0094357631247,"regulation of catalytic activity",0.0456647364905575,1.34041904411543,"human_specific"
"GO:0050808","synapse organization",0.0708732861925751,23,1.93168356174099,0.00187150559387531,0.0456647364905575,110131,17,539,2.30454114902578,0.00124907430500142,0.0888924547059344,1.93168356174099,"synapse organization",0.0456647364905575,1.34041904411543,"human_specific"
"GO:0045859","regulation of protein kinase activity",0.0268323374042667,12,2.66203314129515,0.00207654586785786,0.0485568510402801,84232,6,220,1.992750287687,0.0823354006617444,0.282654638612132,2.66203314129515,"regulation of protein kinase activity",0.0485568510402801,1.31374948544543,"human_specific"
"GO:0071384","cellular response to corticosteroid stimulus",0.0104709318444735,7,3.97927016291851,0.0021102070519403,0.0485568510402801,135159,2,63,2.31960350947693,0.213270095488319,0.428547438934176,3.97927016291851,"cellular response to corticosteroid stimulus",0.0485568510402801,1.31374948544543,"human_specific"
"GO:0051348","negative regulation of transferase activity",0.0105155727495698,7,3.96237729118192,0.00216060929687429,0.0485568510402801,115131,2,94,1.55462788401113,0.369344801226677,0.550236849960758,3.96237729118192,"negative regulation of transferase activity",0.0485568510402801,1.31374948544543,"human_specific"
