"id","description","genome_fraction","observed_region_hits","fold_enrichment","p_value","p_adjust","mean_tss_dist","observed_gene_hits","gene_set_size","fold_enrichment_hyper","p_value_hyper","p_adjust_hyper","fold_enrichment_final","term_name_final","padj_final","neglog10_padj","dataset"
"GO:0032924","activin receptor signaling pathway",0.00437436500672229,24,2.21946221889527,0.00035390642514996,0.00193265532772273,120696,15,44,2.12588723925239,0.00255049734530491,0.0141118888648851,2.21946221889527,"activin receptor signaling pathway",0.00193265532772273,2.71384559171132,"conserved_human_in_mouse"
"GO:0051938","L-glutamate import",0.00358824889258249,21,2.36749062993619,0.000354867140717806,0.00193596187879083,176790,13,41,1.97724796886564,0.00953102978608929,0.0379708423495516,2.36749062993619,"L-glutamate import",0.00193596187879083,2.71310319867731,"conserved_human_in_mouse"
"GO:0008016","regulation of heart contraction",0.0229425126498612,84,1.48111861341732,0.000355443922424452,0.00193716937721326,160497,53,193,1.71245908184338,3.65603839108231e-05,0.000423944877263799,1.48111861341732,"regulation of heart contraction",0.00193716937721326,2.71283240490137,"conserved_human_in_mouse"
"GO:1990748","cellular detoxification",0.00464532082206473,25,2.17708722299166,0.000356841602768859,0.00194284389119908,90932,20,102,1.22273252976608,0.195042755075373,0.313564311256868,2.17708722299166,"cellular detoxification",0.00194284389119908,2.71156209384927,"conserved_human_in_mouse"
"GO:0034504","protein localization to nucleus",0.0259662044305932,93,1.44885862405735,0.000360665116360429,0.00196170148120193,76960,73,329,1.38365751012739,0.00198109232341985,0.0114495791756503,1.44885862405735,"protein localization to nucleus",0.00196170148120193,2.70736707999914,"conserved_human_in_mouse"
"GO:0032352","positive regulation of hormone metabolic process",0.0023543418409762,16,2.74917252742761,0.000361504237265682,0.00196321023410844,220968,8,18,2.77152706746979,0.00416079014663174,0.0199967427682037,2.74917252742761,"positive regulation of hormone metabolic process",0.00196321023410844,2.7070331906576,"conserved_human_in_mouse"
"GO:2001236","regulation of extrinsic apoptotic signaling pathway",0.0176976351959327,68,1.55433708008677,0.000361662949549517,0.00196321023410844,99464,40,163,1.53029101884835,0.00320200839560431,0.016619948339089,1.55433708008677,"regulation of extrinsic apoptotic signaling pathway",0.00196321023410844,2.7070331906576,"conserved_human_in_mouse"
"GO:0010901","regulation of very-low-density lipoprotein particle remodeling",0.0002393069156934,5,8.45213234152527,0.000368933349818561,0.0020006833398121,1753,5,9,3.46440883433724,0.00754376915346016,0.031797016153409,8.45213234152527,"regulation of very-low-density lipoprotein particle remodeling",0.0020006833398121,2.69882164432482,"conserved_human_in_mouse"
"GO:0050680","negative regulation of epithelial cell proliferation",0.0190157636203712,72,1.53168782351873,0.000370435479953284,0.0020068323715163,157045,35,145,1.50522590733273,0.00730060469399963,0.0315279679732947,1.53168782351873,"negative regulation of epithelial cell proliferation",0.0020068323715163,2.69748890213426,"conserved_human_in_mouse"
"GO:0060260","regulation of transcription initiation by RNA polymerase II",0.00520419612228995,27,2.09875451278753,0.000371766390518473,0.00201131971349274,73939,21,70,1.87078077054211,0.00247463001184426,0.0138183745538435,2.09875451278753,"regulation of transcription initiation by RNA polymerase II",0.00201131971349274,2.69651888973666,"conserved_human_in_mouse"
"GO:0016049","cell growth",0.0595988445371167,189,1.28284887523275,0.000372001884623979,0.00201131971349274,110223,110,490,1.39990397795668,0.000107038311882176,0.00105299422338963,1.28284887523275,"cell growth",0.00201131971349274,2.69651888973666,"conserved_human_in_mouse"
"GO:0031018","endocrine pancreas development",0.00661090409986669,32,1.95812609337825,0.000374328776062288,0.00202189477655051,242442,18,45,2.49437436072281,9.99729073237983e-05,0.00100526262899391,1.95812609337825,"endocrine pancreas development",0.00202189477655051,2.69424144971068,"conserved_human_in_mouse"
"GO:0006520","amino acid metabolic process",0.0190280996356772,72,1.530694822389,0.000376996220397473,0.00203151670541349,75786,55,256,1.33975185390385,0.0126583232578909,0.0472843466453087,1.530694822389,"amino acid metabolic process",0.00203151670541349,2.69217960206557,"conserved_human_in_mouse"
